brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
HP,EliteBook 840,14.0,Silver,256.0,Core i5 6200U,16.0,Windows 10 Pro,Integrated,1000.0
ASUS,ProArt StudioBook 16,16.0,Black,1.0,Core i9,32.0,Windows 11 Home,Dedicated,2499.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
SAMSUNG,Chromebook 4+,15.6,Silver,64.0,Celeron N3450,4.0,Chrome OS,Integrated,205.0
HP,"HP 14"" Chromebook",14.0,Dale Gray,128.0,Core i3,8.0,Chrome OS,Integrated,265.99
acer,Aspire 5,15.6,Silver,128.0,Ryzen 3 3350U,4.0,Windows 11,Integrated,367.29
Razer,Razer Blade 14,14.0,Black,1.0,Ryzen 9 7900X,16.0,Windows 11 Home,RTX 4070,2699.99
ASUS,VivoBook 15,15.6,Slate Gray,128.0,Core i3-1005G1,8.0,Windows 10 Home,Integrated,379.0
acer,PH16-71-74UU,16.0,Black,1.0,Intel Core i7,16.0,Windows 11 Home,Dedicated,1649.99
ASUS,ASUS ROG Zephyrus Duo 16,16.0,Black,1000.0,Ryzen 7,16.0,Windows 11 Home,RTX 3060,1589.99
ASUS,Vivobook Pro 15,15.6,Quiet Blue,1.0,Ryzen 9,32.0,Windows 11 Home,Dedicated,1399.99
Dell,XPS9310-7321WHT-SUS,13.4,White,512.0,Core i7 Family,16.0,Windows 11 Home,Integrated,1229.99
Dell,Dell G15 5520,15.6,Shadow Grey,512.0,Core i7 Family,16.0,Windows 11 Home,Dedicated,1129.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
